Index,Original_中轴承温度,Original_A相线温度,Original_电机前轴承温度,Original_垂直振动,Original_水平振动,Original_出口烟气温度,Reconstructed_中轴承温度,Reconstructed_A相线温度,Reconstructed_电机前轴承温度,Reconstructed_垂直振动,Reconstructed_水平振动,Reconstructed_出口烟气温度,Error_中轴承温度,Error_A相线温度,Error_电机前轴承温度,Error_垂直振动,Error_水平振动,Error_出口烟气温度,Threshold_中轴承温度,Threshold_A相线温度,Threshold_电机前轴承温度,Threshold_垂直振动,Threshold_水平振动,Threshold_出口烟气温度,Warning_中轴承温度,Warning_A相线温度,Warning_电机前轴承温度,Warning_垂直振动,Warning_水平振动,Warning_出口烟气温度
14,66.57374,70.67468,66.57374,0.3601952,0.32356495,150.16678,66.25904,72.35073,66.91397,0.36038777,0.32408264,149.97083,0.314699167,1.676050896,0.340230947,0.000192572,0.000517693,0.195954805,1.301590571,5.485127714,1.43628411,0.008038746,0.003063358,1.221498388,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,66.57374,70.700806,66.57374,0.34798512,0.32356495,150.29413,66.10813,72.70678,66.86876,0.34832948,0.3241575,149.99796,0.465608591,2.00597348,0.295019155,0.000344364,0.000592556,0.296174678,1.29915934,5.526244207,1.4145712,0.007858476,0.00300073,1.201743928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,66.57374,70.726944,66.57374,0.31135547,0.33577502,150.24411,65.91381,72.7725,66.70506,0.31179708,0.33775026,149.91534,0.65992927,2.045555084,0.131322866,0.000441612,0.001975236,0.328765762,1.417621501,5.566076947,1.464563208,0.007671995,0.003816905,1.192657317,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,66.57374,70.75309,66.59983,0.40903553,0.32356495,150.37146,66.31714,72.49183,67.01636,0.4074102,0.3240599,150.22778,0.256601328,1.738738918,0.416527422,0.001625326,0.000494954,0.143676797,1.399981279,5.488312157,1.437316254,0.007624873,0.003973385,1.172551478,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,66.57374,70.75309,66.59983,0.3601952,0.31135547,150.42305,66.17373,72.111626,66.95225,0.3602204,0.31185678,150.28627,0.400011057,1.358535671,0.35241762,2.52E-05,0.000501306,0.136779858,1.375261828,5.380273568,1.408836591,0.007557638,0.003880368,1.154471288,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,66.57374,70.779236,66.59983,0.34798512,0.2991454,150.52463,66.198204,71.76555,67.052635,0.34826308,0.29937038,150.35971,0.375535959,0.986312706,0.452805193,0.000277965,0.000224978,0.164919307,1.350082302,5.333086739,1.392035936,0.007427152,0.003816905,1.132793187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,66.57374,70.80536,66.59983,0.33577502,0.32356495,150.55043,66.07994,72.820305,66.86285,0.33622783,0.32429436,150.16858,0.493799204,2.014944871,0.263016375,0.000452814,0.000729408,0.381850898,1.363880857,5.357888648,1.394488594,0.007435357,0.003821209,1.117215485,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,66.57374,70.8315,66.59983,0.421245,0.31135547,150.60202,66.156044,72.52533,67.02374,0.41956237,0.31168064,150.3203,0.417695994,1.69382959,0.423912676,0.00168263,0.000325175,0.281722759,1.366586454,4.969519149,1.375063187,0.007556605,0.00379499,1.060040604,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,66.57374,70.8315,66.59983,0.38461536,0.2869353,150.7294,65.9905,72.122284,66.98221,0.38308674,0.2870123,150.52226,0.583238596,1.290783936,0.382378252,0.001528619,7.70E-05,0.207137427,1.423757473,4.585399202,1.358980477,0.007593689,0.003806923,1.012817805,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,66.57374,70.85764,66.59983,0.33577502,0.31135547,150.7294,66.13391,72.29476,66.970924,0.3361399,0.31152722,150.54462,0.439828867,1.437121658,0.371094377,0.000364868,0.000171752,0.184783301,1.425862072,4.528402577,1.359009886,0.007615388,0.003838594,1.006011046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,66.57374,70.88379,66.59983,0.33577502,0.31135547,150.83102,66.127106,72.320984,66.96783,0.33614212,0.31154138,150.63951,0.446634287,1.437193887,0.367996843,0.000367103,0.000185908,0.191508892,1.335279167,4.298026428,1.150965246,0.005628783,0.003861997,0.991421106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,66.57374,70.90991,66.59983,0.3601952,0.33577502,150.83102,66.125496,73.40165,66.77558,0.36066934,0.33745515,150.39722,0.448244089,2.491739475,0.17575136,0.000474145,0.001680133,0.433803203,1.333922469,4.60664714,1.186042211,0.005634005,0.004355975,1.018144079,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,66.57374,70.90991,66.59983,0.3601952,0.31135547,150.90685,66.1529,72.37735,66.949814,0.3603452,0.31203935,150.73811,0.420839304,1.467439854,0.349983843,0.000150015,0.000683876,0.168736597,1.333737231,4.590536995,1.177918669,0.005693538,0.004290422,1.018821066,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,66.54763,70.93606,66.59983,0.33577502,0.31135547,150.88104,66.11901,72.32787,66.96147,0.33614755,0.31156704,150.69995,0.428619075,1.39181323,0.361641558,0.000372527,0.000211568,0.181088828,1.094727994,4.528078726,0.99183161,0.004449086,0.004311446,1.021168086,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,66.57374,70.962204,66.59983,0.421245,0.31135547,150.93106,66.13035,72.696365,67.025764,0.41948396,0.31174085,150.65367,0.443391794,1.734161356,0.425934465,0.00176104,0.000385375,0.277388735,1.095175767,4.529182026,1.004735802,0.004636659,0.004311712,1.010958044,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,66.57374,70.962204,66.59983,0.38461536,0.31135547,150.98111,66.03771,72.64971,66.94002,0.383064,0.31209245,150.57503,0.536027903,1.687507609,0.3401877,0.001551358,0.000736983,0.406082534,1.110860685,4.442305901,1.000156862,0.004835131,0.004303426,1.026218358,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,66.57374,70.98833,66.59983,0.33577502,0.31135547,150.9553,66.12547,72.378136,66.9722,0.33615494,0.3115819,150.76602,0.448266978,1.389805681,0.372368486,0.000379918,0.00022644,0.189278271,1.091572243,4.46787031,0.961508225,0.004675059,0.004254775,1.023989172,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,66.57374,71.01447,66.59983,0.34798512,0.2991454,150.98111,66.19309,72.00083,67.05156,0.34834367,0.2995358,150.80411,0.380647654,0.986361604,0.451729448,0.00035855,0.000390411,0.177002334,1.096987253,4.584022472,0.991352983,0.004687618,0.00425632,1.025619993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,66.57374,71.01447,66.59983,0.33577502,0.31135547,151.03113,66.12101,72.399994,66.970634,0.3361575,0.31159458,150.83777,0.452730173,1.385523896,0.37080446,0.000382481,0.000239106,0.193361445,1.094731563,4.582442488,0.985985981,0.004696673,0.004262536,0.992700928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,66.57374,71.04062,66.59983,0.3601952,0.2991454,151.03113,66.17606,72.17337,67.00495,0.3600015,0.30010304,150.85182,0.397676462,1.132750361,0.405121477,0.000193696,0.000957639,0.179308101,1.039259977,4.165084944,0.925530023,0.00474109,0.003951842,0.856554513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,66.57374,71.066765,66.59983,0.33577502,0.31135547,151.13278,66.116615,72.435265,66.970474,0.33616343,0.3116171,150.93646,0.457124705,1.368499587,0.370644243,0.000388411,0.000261636,0.196317598,1.010740448,4.160826317,0.927337892,0.004707519,0.003970894,0.856514426,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,66.57374,71.066765,66.59983,0.3601952,0.31135547,151.10696,66.1503,72.49573,66.9567,0.360387,0.3121621,150.92581,0.423440928,1.428962539,0.356873186,0.000191797,0.000806631,0.181148232,1.009014512,4.03065593,0.922381287,0.004735905,0.004003706,0.848184489,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,66.57374,71.09289,66.62594,0.39682543,0.31135547,151.1828,66.05407,72.852875,66.96707,0.39507335,0.31218502,150.84044,0.519670481,1.759984756,0.341131533,0.001752076,0.000829549,0.342361157,0.900980293,3.903788344,0.800263558,0.005121957,0.003126233,0.854612203,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
