中轴承温度,A相线温度,电机前轴承温度,垂直振动,水平振动,出口烟气温度,timestamp
60.02801,55.289803,61.27879,0.27472523,0.26251513,134.42160499999997,2023-05-26 16:51:00
60.02801,55.289803,61.27879,0.27472523,0.27472523,134.42160499999997,2023-05-26 16:52:00
60.02801,55.289803,61.27879,0.27472523,0.26251513,134.42160499999997,2023-05-26 16:52:00
60.02801,55.289803,61.27879,0.27472523,0.26251513,134.42160499999997,2023-05-26 16:52:00
60.05407,55.289803,61.27879,0.2991454,0.27472523,134.42160499999997,2023-05-26 16:52:00
60.05407,55.289803,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:52:00
60.05407,55.289803,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:52:00
60.05407,55.289803,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:53:00
60.05407,55.289803,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:53:00
60.05407,55.289803,61.27879,0.2869353,0.2869353,134.42160499999997,2023-05-26 16:53:00
60.05407,55.289803,61.27879,0.2869353,0.2869353,134.42160499999997,2023-05-26 16:53:00
60.05407,55.289803,61.27879,0.2991454,0.2869353,134.42160499999997,2023-05-26 16:53:00
60.05407,55.315823,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:53:00
60.05407,55.315823,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:54:00
60.05407,55.315823,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:54:00
60.05407,55.315823,61.27879,0.2869353,0.26251513,134.42160499999997,2023-05-26 16:54:00
60.05407,55.315823,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:54:00
60.05407,55.315823,61.27879,0.27472523,0.26251513,134.42160499999997,2023-05-26 16:54:00
60.05407,55.341824,61.27879,0.2869353,0.25030506,134.42160499999997,2023-05-26 16:54:00
60.05407,55.341824,61.27879,0.27472523000000004,0.25030506,134.42160499999997,2023-05-26 16:55:00
60.05407,55.341824,61.27879,0.2991454,0.26251513,134.42160499999997,2023-05-26 16:55:00
60.05407,55.341824,61.27879,0.27472523,0.27472523,134.42160499999997,2023-05-26 16:55:00
60.05407,55.341824,61.27879,0.2869353,0.26251513,134.42160499999997,2023-05-26 16:55:00
60.05407,55.341824,61.27879,0.31135547,0.27472523,134.42160499999997,2023-05-26 16:55:00
60.02801,55.341824,61.27879,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:55:00
60.02801,55.341824,61.30484,0.2991454,0.27472523,134.42160499999997,2023-05-26 16:56:00
60.02801,55.341824,61.30484,0.2991454,0.27472523,134.42160499999997,2023-05-26 16:56:00
60.02801,55.341824,61.30484,0.2991454,0.26251513,134.42160499999997,2023-05-26 16:56:00
60.02801,55.341824,61.30484,0.2991454,0.2869353,134.42160499999997,2023-05-26 16:56:00
60.02801,55.341824,61.30484,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:56:00
60.02801,55.341824,61.30484,0.2991454,0.26251513,134.42160499999997,2023-05-26 16:56:00
60.02801,55.341824,61.30484,0.31135547,0.2869353,134.42160499999997,2023-05-26 16:57:00
60.02801,55.315823,61.30484,0.2991454,0.26251513,134.42160499999997,2023-05-26 16:57:00
60.02801,55.315823,61.30484,0.2869353,0.2869353,134.42160499999997,2023-05-26 16:57:00
60.02801,55.315823,61.30484,0.2869353,0.27472523,134.42160499999997,2023-05-26 16:57:00
60.02801,55.315823,61.30484,0.2991454,0.27472523,134.42160499999997,2023-05-26 16:57:00
60.02801,55.315823,61.30484,0.2869353,0.2869353,134.42160499999997,2023-05-26 16:57:00
60.02801,55.315823,61.30484,0.2869353,0.26251513,134.42160499999997,2023-05-26 16:58:00
60.02801,55.289803,61.30484,0.27472523,0.27472523,134.42160499999997,2023-05-26 16:58:00
60.02801,55.289803,61.30484,0.31135547,0.27472523,134.42160499999997,2023-05-26 16:58:00
60.02801,55.289803,61.30484,0.2991454,0.27472523,134.42160499999997,2023-05-26 16:58:00
